trunk_group_id,routing,manipulation_rule,manipulation_source,manipulation_action,manipulation_value_1, manipulation_value_2,stop_processing_rules,change_action_1,change_value_1,change_action_2,change_value_2,change_action_3,change_value_3
ITSP_TG,Incoming Routing,DNIS,Original DNIS,Equals,733977579, ,TRUE,Replace Number,265,,,,
ITSP_TG,Incoming Routing,DNIS,Original DNIS,Equals,733712336, ,TRUE,Replace Number,120096,,,,
ITSP_TG,Incoming Routing,DNIS,Original DNIS,Equals,774511800, ,TRUE,Replace Number,120093,,,,
ITSP_TG,Incoming Routing,DNIS,Original DNIS,Equals,775070185, ,TRUE,Replace Number,120041,,,,
ITSP_TG,Incoming Routing,DNIS,Original DNIS,Equals,733980240, ,TRUE,Replace Number,120000,,,,
ITSP_TG,Incoming Routing,DNIS,Original DNIS,Equals,732545639, ,TRUE,Replace Number,120001,,,,
ITSP_TG,Incoming Routing,DNIS,Original DNIS,Equals,39335017, ,TRUE,Replace Number,120002,,,,
ITSP_TG,Incoming Routing,DNIS,Original DNIS,Equals,35544960, ,TRUE,Replace Number,120002,,,,
ITSP_TG,Incoming Routing,DNIS,Original DNIS,Equals,88676447, ,TRUE,Replace Number,120003,,,,
ITSP_TG,Incoming Routing,DNIS,Original DNIS,Equals,86738359, ,TRUE,Replace Number,120004,,,,
ITSP_TG,Incoming Routing,DNIS,Original DNIS,Equals,86236108, ,TRUE,Replace Number,120005,,,,
ITSP_TG,Incoming Routing,DNIS,Original DNIS,Equals,26249851, ,TRUE,Replace Number,120006,,,,
ITSP_TG,Incoming Routing,DNIS,Original DNIS,Equals,25803337, ,TRUE,Replace Number,120007,,,,
ITSP_TG,Incoming Routing,DNIS,Original DNIS,Equals,35795399, ,TRUE,Replace Number,120008,,,,
ITSP_TG,Incoming Routing,DNIS,Original DNIS,Equals,36186020, ,TRUE,Replace Number,120009,,,,
ITSP_TG,Incoming Routing,DNIS,Original DNIS,Equals,733980266, ,TRUE,Replace Number,120010,,,,
ITSP_TG,Incoming Routing,DNIS,Original DNIS,Equals,97432773, ,TRUE,Replace Number,120011,,,,
ITSP_TG,Incoming Routing,DNIS,Original DNIS,Equals,99585949, ,TRUE,Replace Number,120012,,,,
ITSP_TG,Incoming Routing,DNIS,Original DNIS,Equals,35547255, ,TRUE,Replace Number,120013,,,,
ITSP_TG,Incoming Routing,DNIS,Original DNIS,Equals,35627394, ,TRUE,Replace Number,120014,,,,
ITSP_TG,Incoming Routing,DNIS,Original DNIS,Equals,48383389, ,TRUE,Replace Number,120015,,,,
ITSP_TG,Incoming Routing,DNIS,Original DNIS,Equals,48444924, ,TRUE,Replace Number,120016,,,,
ITSP_TG,Incoming Routing,DNIS,Original DNIS,Equals,48330433, ,TRUE,Replace Number,120017,,,,
ITSP_TG,Incoming Routing,DNIS,Original DNIS,Equals,26264885, ,TRUE,Replace Number,120018,,,,
ITSP_TG,Incoming Routing,DNIS,Original DNIS,Equals,25022131, ,TRUE,Replace Number,120019,,,,
ITSP_TG,Incoming Routing,DNIS,Original DNIS,Equals,26248694, ,TRUE,Replace Number,120020,,,,
ITSP_TG,Incoming Routing,DNIS,Original DNIS,Equals,26481402, ,TRUE,Replace Number,120021,,,,
ITSP_TG,Incoming Routing,DNIS,Original DNIS,Equals,97673277, ,TRUE,Replace Number,120022,,,,
